id1,id2,correlation,Metadata_line_ID1,Metadata_plating_density1,Metadata_line_ID2,Metadata_plating_density2,Count_Cells1,Count_Cells2,cell_count_abs_diff,cell_count_sum
48,18,0.9999950468815707,48,10000,18,10000,3278.5,2353,925.5,5631.5
18,9,0.9999901202928618,18,10000,9,10000,2353,2443,90,4796
48,10,0.9999879447190964,48,10000,10,10000,3278.5,1904.5,1374,5183
48,9,0.9999869079467981,48,10000,9,10000,3278.5,2443,835.5,5721.5
18,10,0.9999845204135971,18,10000,10,10000,2353,1904.5,448.5,4257.5
20,18,0.9999820539700719,20,10000,18,10000,3747,2353,1394,6100
48,20,0.9999818489336232,48,10000,20,10000,3278.5,3747,468.5,7025.5
48,19,0.9999801982198007,48,10000,19,10000,3278.5,2818,460.5,6096.5
19,18,0.9999801034944956,19,10000,18,10000,2818,2353,465,5171
33,19,0.9999799102304677,33,10000,19,10000,3693.5,2818,875.5,6511.5
10,9,0.9999796880820557,10,10000,9,10000,1904.5,2443,538.5,4347.5
48,33,0.9999754187908189,48,10000,33,10000,3278.5,3693.5,415,6972
19,9,0.9999746605159187,19,10000,9,10000,2818,2443,375,5261
20,9,0.999974154336699,20,10000,9,10000,3747,2443,1304,6190
36,30,0.9999740931341644,36,10000,30,10000,1383.5,1390,6.5,2773.5
30,18,0.9999740441560765,30,10000,18,10000,1390,2353,963,3743
30,9,0.9999735769686933,30,10000,9,10000,1390,2443,1053,3833
33,18,0.9999724285153765,33,10000,18,10000,3693.5,2353,1340.5,6046.5
19,10,0.9999722275151908,19,10000,10,10000,2818,1904.5,913.5,4722.5
30,10,0.9999704238031231,30,10000,10,10000,1390,1904.5,514.5,3294.5
33,9,0.9999700186576214,33,10000,9,10000,3693.5,2443,1250.5,6136.5
33,20,0.9999690179045724,33,10000,20,10000,3693.5,3747,53.5,7440.5
48,30,0.999968465188064,48,10000,30,10000,3278.5,1390,1888.5,4668.5
20,19,0.9999663415595975,20,10000,19,10000,3747,2818,929,6565
20,10,0.9999638027377018,20,10000,10,10000,3747,1904.5,1842.5,5651.5
48,42,0.9999631457072512,48,10000,42,10000,3278.5,2869.5,409,6148
30,19,0.9999623417644098,30,10000,19,10000,1390,2818,1428,4208
42,18,0.999962056249249,42,10000,18,10000,2869.5,2353,516.5,5222.5
33,10,0.9999597798134019,33,10000,10,10000,3693.5,1904.5,1789,5598
42,20,0.9999543257073785,42,10000,20,10000,2869.5,3747,877.5,6616.5
42,9,0.9999526196281645,42,10000,9,10000,2869.5,2443,426.5,5312.5
36,9,0.9999484478089037,36,10000,9,10000,1383.5,2443,1059.5,3826.5
30,20,0.9999478014401515,30,10000,20,10000,1390,3747,2357,5137
42,19,0.9999454007314026,42,10000,19,10000,2869.5,2818,51.5,5687.5
42,10,0.9999453145439564,42,10000,10,10000,2869.5,1904.5,965,4774
33,30,0.9999446881096704,33,10000,30,10000,3693.5,1390,2303.5,5083.5
36,18,0.9999437557611465,36,10000,18,10000,1383.5,2353,969.5,3736.5
36,10,0.9999416106617312,36,10000,10,10000,1383.5,1904.5,521,3288
42,33,0.9999415394462582,42,10000,33,10000,2869.5,3693.5,824,6563
48,36,0.9999313345795452,48,10000,36,10000,3278.5,1383.5,1895,4662
36,19,0.9999304401401686,36,10000,19,10000,1383.5,2818,1434.5,4201.5
42,30,0.9999194334738133,42,10000,30,10000,2869.5,1390,1479.5,4259.5
36,33,0.9999142430386754,36,10000,33,10000,1383.5,3693.5,2310,5077
36,20,0.9999105326465374,36,10000,20,10000,1383.5,3747,2363.5,5130.5
31,20,0.9998839377116926,31,10000,20,10000,3363,3747,384,7110
31,15,0.999879081363845,31,10000,15,10000,3363,3591.5,228.5,6954.5
42,36,0.9998750003046445,42,10000,36,10000,2869.5,1383.5,1486,4253
22,10,0.9998624596029078,22,10000,10,10000,2002,1904.5,97.5,3906.5
22,18,0.9998551081752375,22,10000,18,10000,2002,2353,351,4355
48,31,0.999854682823495,48,10000,31,10000,3278.5,3363,84.5,6641.5
20,15,0.9998505162507234,20,10000,15,10000,3747,3591.5,155.5,7338.5
48,22,0.9998502320696174,48,10000,22,10000,3278.5,2002,1276.5,5280.5
31,10,0.9998495232376551,31,10000,10,10000,3363,1904.5,1458.5,5267.5
30,22,0.9998468189647107,30,10000,22,10000,1390,2002,612,3392
33,31,0.9998462505687056,33,10000,31,10000,3693.5,3363,330.5,7056.5
22,9,0.9998447296312487,22,10000,9,10000,2002,2443,441,4445
22,19,0.9998425077045997,22,10000,19,10000,2002,2818,816,4820
31,9,0.9998410844447744,31,10000,9,10000,3363,2443,920,5806
22,20,0.999840823374974,22,10000,20,10000,2002,3747,1745,5749
31,18,0.9998374440735354,31,10000,18,10000,3363,2353,1010,5716
36,22,0.9998355545308155,36,10000,22,10000,1383.5,2002,618.5,3385.5
31,19,0.9998289970799813,31,10000,19,10000,3363,2818,545,6181
42,31,0.9998250966822589,42,10000,31,10000,2869.5,3363,493.5,6232.5
33,15,0.9998241253504322,33,10000,15,10000,3693.5,3591.5,102,7285
33,22,0.9998223638334577,33,10000,22,10000,3693.5,2002,1691.5,5695.5
31,30,0.9998113999983801,31,10000,30,10000,3363,1390,1973,4753
48,15,0.9997948203270904,48,10000,15,10000,3278.5,3591.5,313,6870
19,15,0.9997942497176532,19,10000,15,10000,2818,3591.5,773.5,6409.5
42,22,0.9997880864105521,42,10000,22,10000,2869.5,2002,867.5,4871.5
15,9,0.9997838651394466,15,10000,9,10000,3591.5,2443,1148.5,6034.5
18,15,0.9997806642385687,18,10000,15,10000,2353,3591.5,1238.5,5944.5
15,10,0.9997783744232104,15,10000,10,10000,3591.5,1904.5,1687,5496
36,31,0.9997677841249576,36,10000,31,10000,1383.5,3363,1979.5,4746.5
42,15,0.9997653195676902,42,10000,15,10000,2869.5,3591.5,722,6461
30,15,0.9997395010608938,30,10000,15,10000,1390,3591.5,2201.5,4981.5
31,22,0.999719577051552,31,10000,22,10000,3363,2002,1361,5365
22,15,0.9997083743073386,22,10000,15,10000,2002,3591.5,1589.5,5593.5
36,15,0.999696568968027,36,10000,15,10000,1383.5,3591.5,2208,4975
31,17,0.9996848831315188,31,10000,17,10000,3363,2540,823,5903
31,8,0.9996720625091696,31,10000,8,10000,3363,2469,894,5832
15,8,0.999663844991464,15,10000,8,10000,3591.5,2469,1122.5,6060.5
20,17,0.9996503552582644,20,10000,17,10000,3747,2540,1207,6287
19,17,0.9996325065775976,19,10000,17,10000,2818,2540,278,5358
48,17,0.9996266396964728,48,10000,17,10000,3278.5,2540,738.5,5818.5
17,10,0.9996201850595451,17,10000,10,10000,2540,1904.5,635.5,4444.5
30,8,0.999619289909215,30,10000,8,10000,1390,2469,1079,3859
17,15,0.9996190857999175,17,10000,15,10000,2540,3591.5,1051.5,6131.5
33,17,0.9996108459475548,33,10000,17,10000,3693.5,2540,1153.5,6233.5
20,8,0.9996056222326047,20,10000,8,10000,3747,2469,1278,6216
10,8,0.9996053905144572,10,10000,8,10000,1904.5,2469,564.5,4373.5
18,17,0.9996029940071096,18,10000,17,10000,2353,2540,187,4893
17,9,0.9995982551947032,17,10000,9,10000,2540,2443,97,4983
9,8,0.9995835748574948,9,10000,8,10000,2443,2469,26,4912
30,17,0.9995822150998496,30,10000,17,10000,1390,2540,1150,3930
48,8,0.9995796854756313,48,10000,8,10000,3278.5,2469,809.5,5747.5
19,8,0.9995786227250943,19,10000,8,10000,2818,2469,349,5287
18,8,0.9995713479955546,18,10000,8,10000,2353,2469,116,4822
36,8,0.9995711497176188,36,10000,8,10000,1383.5,2469,1085.5,3852.5
33,8,0.9995627092206908,33,10000,8,10000,3693.5,2469,1224.5,6162.5
42,17,0.9995549175166886,42,10000,17,10000,2869.5,2540,329.5,5409.5
22,17,0.9995460274327299,22,10000,17,10000,2002,2540,538,4542
42,8,0.9995355107810779,42,10000,8,10000,2869.5,2469,400.5,5338.5
22,8,0.999506922054258,22,10000,8,10000,2002,2469,467,4471
36,17,0.9994982114329883,36,10000,17,10000,1383.5,2540,1156.5,3923.5
17,8,0.9994032849251775,17,10000,8,10000,2540,2469,71,5009
21,19,0.9989338462235271,21,10000,19,10000,1749,2818,1069,4567
21,20,0.9989191599037994,21,10000,20,10000,1749,3747,1998,5496
48,21,0.9989119150516523,48,10000,21,10000,3278.5,1749,1529.5,5027.5
21,9,0.9988939221013595,21,10000,9,10000,1749,2443,694,4192
21,18,0.9988929343131697,21,10000,18,10000,1749,2353,604,4102
33,21,0.9988843643147336,33,10000,21,10000,3693.5,1749,1944.5,5442.5
21,17,0.9988791254196587,21,10000,17,10000,1749,2540,791,4289
31,21,0.9988767761785583,31,10000,21,10000,3363,1749,1614,5112
21,10,0.9988660324520994,21,10000,10,10000,1749,1904.5,155.5,3653.5
30,21,0.9988582186818102,30,10000,21,10000,1390,1749,359,3139
42,21,0.9988527938089964,42,10000,21,10000,2869.5,1749,1120.5,4618.5
21,15,0.9988266680259756,21,10000,15,10000,1749,3591.5,1842.5,5340.5
36,21,0.9987734402164554,36,10000,21,10000,1383.5,1749,365.5,3132.5
22,21,0.9986985880694359,22,10000,21,10000,2002,1749,253,3751
21,8,0.9983658357779622,21,10000,8,10000,1749,2469,720,4218
5,1,0.8306989924569721,5,10000,1,10000,1316,1052,264,2368
45,11,0.7801580941504523,45,10000,11,10000,1074.5,1164,89.5,2238.5
43,16,0.7716047721655265,43,10000,16,10000,3754.5,2899.5,855,6654
43,34,0.7620021471632412,43,10000,34,10000,3754.5,3667,87.5,7421.5
16,14,0.745567256203802,16,10000,14,10000,2899.5,2670,229.5,5569.5
38,23,0.7103869596697352,38,10000,23,10000,3222,3597.5,375.5,6819.5
37,11,0.7063380536621253,37,10000,11,10000,1298,1164,134,2462
45,39,0.6977801376894393,45,10000,39,10000,1074.5,1375.5,301,2450
43,14,0.6896724435761499,43,10000,14,10000,3754.5,2670,1084.5,6424.5
40,11,0.6890873005227977,40,10000,11,10000,1394.5,1164,230.5,2558.5
34,26,0.6885259564338936,34,10000,26,10000,3667,2680.5,986.5,6347.5
14,13,0.6840875158031133,14,10000,13,10000,2670,2435.5,234.5,5105.5
6,5,0.6756897960509347,6,10000,5,10000,2210,1316,894,3526
39,37,0.6749352049852471,39,10000,37,10000,1375.5,1298,77.5,2673.5
38,16,0.6747484313452377,38,10000,16,10000,3222,2899.5,322.5,6121.5
45,37,0.6650807986538759,45,10000,37,10000,1074.5,1298,223.5,2372.5
26,6,0.6583014202502063,26,10000,6,10000,2680.5,2210,470.5,4890.5
34,25,0.6549173733252145,34,10000,25,10000,3667,3228.5,438.5,6895.5
34,6,0.6444918157415102,34,10000,6,10000,3667,2210,1457,5877
39,11,0.640800089738571,39,10000,11,10000,1375.5,1164,211.5,2539.5
23,13,0.639746228060015,23,10000,13,10000,3597.5,2435.5,1162,6033
40,37,0.6393325545272922,40,10000,37,10000,1394.5,1298,96.5,2692.5
43,26,0.6379831292034062,43,10000,26,10000,3754.5,2680.5,1074,6435
