FileName_OrigRNA,PathName_OrigRNA,FileName_OrigER,PathName_OrigER,FileName_OrigAGP,PathName_OrigAGP,FileName_OrigMito,PathName_OrigMito,FileName_OrigBrightfield,PathName_OrigBrightfield,FileName_OrigDNA,PathName_OrigDNA,Metadata_Plate,Metadata_Well,Metadata_Site,Metadata_AbsPositionZ,Metadata_AbsTime,Metadata_BinningX,Metadata_BinningY,Metadata_ChannelID,Metadata_ChannelName,Metadata_Col,Metadata_ExposureTime,Metadata_FieldID,Metadata_ImageResolutionX,Metadata_ImageResolutionY,Metadata_ImageSizeX,Metadata_ImageSizeY,Metadata_MainEmissionWavelength,Metadata_MainExcitationWavelength,Metadata_MaxIntensity,Metadata_ObjectiveMagnification,Metadata_ObjectiveNA,Metadata_PositionX,Metadata_PositionY,Metadata_PositionZ,Metadata_Row
r01c01f01p01-ch3sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2018_06_05_cmQTL/2019_09_06_Batch5/images/BR00107338__2019-08-30T17_13_41-Measurement1/Images,r01c01f01p01-ch4sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2018_06_05_cmQTL/2019_09_06_Batch5/images/BR00107338__2019-08-30T17_13_41-Measurement1/Images,r01c01f01p01-ch2sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2018_06_05_cmQTL/2019_09_06_Batch5/images/BR00107338__2019-08-30T17_13_41-Measurement1/Images,r01c01f01p01-ch1sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2018_06_05_cmQTL/2019_09_06_Batch5/images/BR00107338__2019-08-30T17_13_41-Measurement1/Images,r01c01f01p01-ch6sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2018_06_05_cmQTL/2019_09_06_Batch5/images/BR00107338__2019-08-30T17_13_41-Measurement1/Images,r01c01f01p01-ch5sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2018_06_05_cmQTL/2019_09_06_Batch5/images/BR00107338__2019-08-30T17_13_41-Measurement1/Images,BR00107338,A01,1,0.134698004,2019-08-30T17:17:06.253-04:00,1,1,5,HOECHST 33342,1,0.02,1,2.9898804047838085E-07,2.9898804047838085E-07,2160,2160,456,405,65535,20,1,0,0,-5E-06,1
r01c01f02p01-ch3sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2018_06_05_cmQTL/2019_09_06_Batch5/images/BR00107338__2019-08-30T17_13_41-Measurement1/Images,r01c01f02p01-ch4sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2018_06_05_cmQTL/2019_09_06_Batch5/images/BR00107338__2019-08-30T17_13_41-Measurement1/Images,r01c01f02p01-ch2sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2018_06_05_cmQTL/2019_09_06_Batch5/images/BR00107338__2019-08-30T17_13_41-Measurement1/Images,r01c01f02p01-ch1sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2018_06_05_cmQTL/2019_09_06_Batch5/images/BR00107338__2019-08-30T17_13_41-Measurement1/Images,r01c01f02p01-ch6sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2018_06_05_cmQTL/2019_09_06_Batch5/images/BR00107338__2019-08-30T17_13_41-Measurement1/Images,r01c01f02p01-ch5sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2018_06_05_cmQTL/2019_09_06_Batch5/images/BR00107338__2019-08-30T17_13_41-Measurement1/Images,BR00107338,A01,2,0.134696901,2019-08-30T17:17:07.657-04:00,1,1,5,HOECHST 33342,1,0.02,2,2.9898804047838085E-07,2.9898804047838085E-07,2160,2160,456,405,65535,20,1,-0.000645814,0.000645814,-5E-06,1
r01c01f03p01-ch3sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2018_06_05_cmQTL/2019_09_06_Batch5/images/BR00107338__2019-08-30T17_13_41-Measurement1/Images,r01c01f03p01-ch4sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2018_06_05_cmQTL/2019_09_06_Batch5/images/BR00107338__2019-08-30T17_13_41-Measurement1/Images,r01c01f03p01-ch2sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2018_06_05_cmQTL/2019_09_06_Batch5/images/BR00107338__2019-08-30T17_13_41-Measurement1/Images,r01c01f03p01-ch1sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2018_06_05_cmQTL/2019_09_06_Batch5/images/BR00107338__2019-08-30T17_13_41-Measurement1/Images,r01c01f03p01-ch6sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2018_06_05_cmQTL/2019_09_06_Batch5/images/BR00107338__2019-08-30T17_13_41-Measurement1/Images,r01c01f03p01-ch5sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2018_06_05_cmQTL/2019_09_06_Batch5/images/BR00107338__2019-08-30T17_13_41-Measurement1/Images,BR00107338,A01,3,0.134694904,2019-08-30T17:17:09.047-04:00,1,1,5,HOECHST 33342,1,0.02,3,2.9898804047838085E-07,2.9898804047838085E-07,2160,2160,456,405,65535,20,1,0,0.000645814,-5E-06,1
r01c01f04p01-ch3sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2018_06_05_cmQTL/2019_09_06_Batch5/images/BR00107338__2019-08-30T17_13_41-Measurement1/Images,r01c01f04p01-ch4sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2018_06_05_cmQTL/2019_09_06_Batch5/images/BR00107338__2019-08-30T17_13_41-Measurement1/Images,r01c01f04p01-ch2sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2018_06_05_cmQTL/2019_09_06_Batch5/images/BR00107338__2019-08-30T17_13_41-Measurement1/Images,r01c01f04p01-ch1sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2018_06_05_cmQTL/2019_09_06_Batch5/images/BR00107338__2019-08-30T17_13_41-Measurement1/Images,r01c01f04p01-ch6sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2018_06_05_cmQTL/2019_09_06_Batch5/images/BR00107338__2019-08-30T17_13_41-Measurement1/Images,r01c01f04p01-ch5sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2018_06_05_cmQTL/2019_09_06_Batch5/images/BR00107338__2019-08-30T17_13_41-Measurement1/Images,BR00107338,A01,4,0.134696007,2019-08-30T17:17:10.433-04:00,1,1,5,HOECHST 33342,1,0.02,4,2.9898804047838085E-07,2.9898804047838085E-07,2160,2160,456,405,65535,20,1,0.000645814,0.000645814,-5E-06,1
r01c01f05p01-ch3sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2018_06_05_cmQTL/2019_09_06_Batch5/images/BR00107338__2019-08-30T17_13_41-Measurement1/Images,r01c01f05p01-ch4sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2018_06_05_cmQTL/2019_09_06_Batch5/images/BR00107338__2019-08-30T17_13_41-Measurement1/Images,r01c01f05p01-ch2sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2018_06_05_cmQTL/2019_09_06_Batch5/images/BR00107338__2019-08-30T17_13_41-Measurement1/Images,r01c01f05p01-ch1sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2018_06_05_cmQTL/2019_09_06_Batch5/images/BR00107338__2019-08-30T17_13_41-Measurement1/Images,r01c01f05p01-ch6sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2018_06_05_cmQTL/2019_09_06_Batch5/images/BR00107338__2019-08-30T17_13_41-Measurement1/Images,r01c01f05p01-ch5sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2018_06_05_cmQTL/2019_09_06_Batch5/images/BR00107338__2019-08-30T17_13_41-Measurement1/Images,BR00107338,A01,5,0.134698704,2019-08-30T17:17:11.777-04:00,1,1,5,HOECHST 33342,1,0.02,5,2.9898804047838085E-07,2.9898804047838085E-07,2160,2160,456,405,65535,20,1,0.000645814,0,-5E-06,1
r01c01f06p01-ch3sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2018_06_05_cmQTL/2019_09_06_Batch5/images/BR00107338__2019-08-30T17_13_41-Measurement1/Images,r01c01f06p01-ch4sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2018_06_05_cmQTL/2019_09_06_Batch5/images/BR00107338__2019-08-30T17_13_41-Measurement1/Images,r01c01f06p01-ch2sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2018_06_05_cmQTL/2019_09_06_Batch5/images/BR00107338__2019-08-30T17_13_41-Measurement1/Images,r01c01f06p01-ch1sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2018_06_05_cmQTL/2019_09_06_Batch5/images/BR00107338__2019-08-30T17_13_41-Measurement1/Images,r01c01f06p01-ch6sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2018_06_05_cmQTL/2019_09_06_Batch5/images/BR00107338__2019-08-30T17_13_41-Measurement1/Images,r01c01f06p01-ch5sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2018_06_05_cmQTL/2019_09_06_Batch5/images/BR00107338__2019-08-30T17_13_41-Measurement1/Images,BR00107338,A01,6,0.134698406,2019-08-30T17:17:13.227-04:00,1,1,5,HOECHST 33342,1,0.02,6,2.9898804047838085E-07,2.9898804047838085E-07,2160,2160,456,405,65535,20,1,-0.000645814,0,-5E-06,1
r01c01f07p01-ch3sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2018_06_05_cmQTL/2019_09_06_Batch5/images/BR00107338__2019-08-30T17_13_41-Measurement1/Images,r01c01f07p01-ch4sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2018_06_05_cmQTL/2019_09_06_Batch5/images/BR00107338__2019-08-30T17_13_41-Measurement1/Images,r01c01f07p01-ch2sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2018_06_05_cmQTL/2019_09_06_Batch5/images/BR00107338__2019-08-30T17_13_41-Measurement1/Images,r01c01f07p01-ch1sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2018_06_05_cmQTL/2019_09_06_Batch5/images/BR00107338__2019-08-30T17_13_41-Measurement1/Images,r01c01f07p01-ch6sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2018_06_05_cmQTL/2019_09_06_Batch5/images/BR00107338__2019-08-30T17_13_41-Measurement1/Images,r01c01f07p01-ch5sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2018_06_05_cmQTL/2019_09_06_Batch5/images/BR00107338__2019-08-30T17_13_41-Measurement1/Images,BR00107338,A01,7,0.134700507,2019-08-30T17:17:14.6-04:00,1,1,5,HOECHST 33342,1,0.02,7,2.9898804047838085E-07,2.9898804047838085E-07,2160,2160,456,405,65535,20,1,-0.000645814,-0.000645814,-5E-06,1
r01c01f08p01-ch3sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2018_06_05_cmQTL/2019_09_06_Batch5/images/BR00107338__2019-08-30T17_13_41-Measurement1/Images,r01c01f08p01-ch4sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2018_06_05_cmQTL/2019_09_06_Batch5/images/BR00107338__2019-08-30T17_13_41-Measurement1/Images,r01c01f08p01-ch2sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2018_06_05_cmQTL/2019_09_06_Batch5/images/BR00107338__2019-08-30T17_13_41-Measurement1/Images,r01c01f08p01-ch1sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2018_06_05_cmQTL/2019_09_06_Batch5/images/BR00107338__2019-08-30T17_13_41-Measurement1/Images,r01c01f08p01-ch6sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2018_06_05_cmQTL/2019_09_06_Batch5/images/BR00107338__2019-08-30T17_13_41-Measurement1/Images,r01c01f08p01-ch5sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2018_06_05_cmQTL/2019_09_06_Batch5/images/BR00107338__2019-08-30T17_13_41-Measurement1/Images,BR00107338,A01,8,0.134700298,2019-08-30T17:17:15.957-04:00,1,1,5,HOECHST 33342,1,0.02,8,2.9898804047838085E-07,2.9898804047838085E-07,2160,2160,456,405,65535,20,1,0,-0.000645814,-5E-06,1
r01c01f09p01-ch3sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2018_06_05_cmQTL/2019_09_06_Batch5/images/BR00107338__2019-08-30T17_13_41-Measurement1/Images,r01c01f09p01-ch4sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2018_06_05_cmQTL/2019_09_06_Batch5/images/BR00107338__2019-08-30T17_13_41-Measurement1/Images,r01c01f09p01-ch2sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2018_06_05_cmQTL/2019_09_06_Batch5/images/BR00107338__2019-08-30T17_13_41-Measurement1/Images,r01c01f09p01-ch1sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2018_06_05_cmQTL/2019_09_06_Batch5/images/BR00107338__2019-08-30T17_13_41-Measurement1/Images,r01c01f09p01-ch6sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2018_06_05_cmQTL/2019_09_06_Batch5/images/BR00107338__2019-08-30T17_13_41-Measurement1/Images,r01c01f09p01-ch5sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2018_06_05_cmQTL/2019_09_06_Batch5/images/BR00107338__2019-08-30T17_13_41-Measurement1/Images,BR00107338,A01,9,0.134701207,2019-08-30T17:17:17.36-04:00,1,1,5,HOECHST 33342,1,0.02,9,2.9898804047838085E-07,2.9898804047838085E-07,2160,2160,456,405,65535,20,1,0.000645814,-0.000645814,-5E-06,1
r01c02f01p01-ch3sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2018_06_05_cmQTL/2019_09_06_Batch5/images/BR00107338__2019-08-30T17_13_41-Measurement1/Images,r01c02f01p01-ch4sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2018_06_05_cmQTL/2019_09_06_Batch5/images/BR00107338__2019-08-30T17_13_41-Measurement1/Images,r01c02f01p01-ch2sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2018_06_05_cmQTL/2019_09_06_Batch5/images/BR00107338__2019-08-30T17_13_41-Measurement1/Images,r01c02f01p01-ch1sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2018_06_05_cmQTL/2019_09_06_Batch5/images/BR00107338__2019-08-30T17_13_41-Measurement1/Images,r01c02f01p01-ch6sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2018_06_05_cmQTL/2019_09_06_Batch5/images/BR00107338__2019-08-30T17_13_41-Measurement1/Images,r01c02f01p01-ch5sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2018_06_05_cmQTL/2019_09_06_Batch5/images/BR00107338__2019-08-30T17_13_41-Measurement1/Images,BR00107338,A02,1,0.134689301,2019-08-30T17:17:18.843-04:00,1,1,5,HOECHST 33342,2,0.02,1,2.9898804047838085E-07,2.9898804047838085E-07,2160,2160,456,405,65535,20,1,0,0,-5E-06,1
